web-scraper-order,web-scraper-start-url,title,title-href,vid
"1560013975-427","http://www.blackandwhitemovies.org/movies-list","Outside The Law (1921)","http://www.blackandwhitemovies.org/outside-the-law-1921.html","http://www.archive.org/download/OutsideTheLaw/OutsideTheLaw_512kb.mp4"
"1560014323-461","http://www.blackandwhitemovies.org/movies-list","Dementia 13 (1963)","http://www.blackandwhitemovies.org/dementia-13-1963.html","http://www.archive.org/download/Dementia_13/Dementia_13_512kb.mp4"
"1560014584-486","http://www.blackandwhitemovies.org/movies-list","Broken Blossoms (1919)","http://www.blackandwhitemovies.org/broken-blossoms-1919.html","http://www.archive.org/download/brokenblossoms1919/Broken_Blossoms_512kb.mp4"
"1560014345-463","http://www.blackandwhitemovies.org/movies-list","Daydreams (1922)","http://www.blackandwhitemovies.org/daydreams-1922.html","http://www.archive.org/download/Daydreams/Daydreams_512kb.mp4"
"1560014514-479","http://www.blackandwhitemovies.org/movies-list","Convict 13 (1920)","http://www.blackandwhitemovies.org/convict-13-1920.html","http://www.archive.org/download/Convict13/Convict_13_512kb.mp4"
"1560014041-433","http://www.blackandwhitemovies.org/movies-list","Nosferatu (1922)","http://www.blackandwhitemovies.org/nosferatu-1922.html","http://www.archive.org/download/PhantasmagoriaTheater-Nosferatu1922909-2/PhantasmagoriaTheater-Nosferatu1922909_512kb.mp4"
"1560014279-457","http://www.blackandwhitemovies.org/movies-list","Frankenstein (1910) [Edison]","http://www.blackandwhitemovies.org/frankenstein-1910-edison.html","http://www.archive.org/download/FrankensteinfullMovie/Frankenstein1910.mp4"
"1560014698-497","http://www.blackandwhitemovies.org/movies-list","Beyond Tomorrow (Beyond Christmas) (1940)","http://www.blackandwhitemovies.org/beyond-tomorrow-beyond-christmas-1940.html","http://www.archive.org/download/Beyond_Tomorrow/Beyond_Tomorrow_512kb.mp4"
"1560013633-393","http://www.blackandwhitemovies.org/movies-list","The High Sign (1921)","http://www.blackandwhitemovies.org/the-high-sign-1921.html","http://www.archive.org/download/TheHighSign/TheHighSign_512kb.mp4"
"1560014639-491","http://www.blackandwhitemovies.org/movies-list","Bloodlust (1961)","http://www.blackandwhitemovies.org/bloodlust-1961.html","http://www.archive.org/download/Bloodlust.mpeg/Bloodlust_512kb.mp4"
"1560014481-476","http://www.blackandwhitemovies.org/movies-list","Charlie Chaplin’s Kids Auto Race At Venice (1914)","http://www.blackandwhitemovies.org/charlie-chaplins-kids-auto-race-at-venice-1914.html","http://www.archive.org/download/CC_1914_02_07_KidsAutoRaceAtVenice/CC_1914_02_07_KidsAutoRaceAtVenice_512kb.mp4"
"1560014132-443","http://www.blackandwhitemovies.org/movies-list","My Wife’s Relations (1922)","http://www.blackandwhitemovies.org/my-wifes-relations-1922.html","http://www.archive.org/download/MyWifesRelations/My_Wifes_Relations_512kb.mp4"
"1560013692-399","http://www.blackandwhitemovies.org/movies-list","The Blacksmith (1922)","http://www.blackandwhitemovies.org/the-blacksmith-1922.html","http://www.archive.org/download/TheBlacksmith/The_Blacksmith_512kb.mp4"
"1560014411-469","http://www.blackandwhitemovies.org/movies-list","Death in the Air (1936)","http://www.blackandwhitemovies.org/death-in-the-air-1936.html","http://www.archive.org/download/pilot_x/pilot_x_512kb.mp4"
"1560014312-460","http://www.blackandwhitemovies.org/movies-list","Dick Tracy Detective (1945)","http://www.blackandwhitemovies.org/dick-tracy-detective-1945.html","http://www.archive.org/download/dick_tracy_detctive/dick_tracy_detective_512kb.mp4"
